iter	RMSE
0	0.8816228656
1	0.8696170171
2	0.8587222173
3	0.8490848327
4	0.8399253895
5	0.8314559172
6	0.823695651
7	0.8171618095
8	0.8107272203
9	0.8052231912
10	0.7998905327
11	0.7956043372
12	0.7912055862
13	0.7872388692
14	0.7834960811
15	0.7794733565
16	0.7762093803
17	0.7729110189
18	0.7698106762
19	0.7673803288
20	0.7647387597
21	0.7626191325
22	0.7600090624
23	0.7575164227
24	0.7554557795
25	0.7533453458
26	0.751398645
27	0.749561081
28	0.7479499523
29	0.7465080821
30	0.74466063
31	0.743261622
32	0.7416096271
33	0.7401067645
34	0.7385956431
35	0.7373515692
36	0.7361047934
37	0.7350179352
38	0.734113988
39	0.7328957469
40	0.7317723602
41	0.7304277452
42	0.7291097786
43	0.7280190438
44	0.726750479
45	0.7257026706
46	0.7246830353
47	0.723879485
48	0.7228358518
49	0.7220555512
50	0.7211093032
51	0.7201586804
52	0.719332398
53	0.7181635264
54	0.7175289863
55	0.7165594262
56	0.7158486253
57	0.7151117431
58	0.7142789332
59	0.7133480424
60	0.7127063598
61	0.7121458624
62	0.7112473408
63	0.7106840417
64	0.7100325287
65	0.7094237778
66	0.7086282795
67	0.7080166502
68	0.7074633507
69	0.7068992198
70	0.7060817749
71	0.7055724681
72	0.7050226082
73	0.7043213147
74	0.7037989
75	0.7032129095
76	0.7027494525
77	0.7019677895
78	0.7013292915
79	0.7008578786
80	0.7001705622
81	0.6997527888
82	0.6992710871
83	0.6987280222
84	0.698249711
85	0.6978182684
86	0.6970274982
87	0.6966598064
88	0.6962653093
89	0.6959284624
90	0.6955221954
91	0.6950073408
92	0.694651837
93	0.6941588172
94	0.6937293852
95	0.6931508983
96	0.6928210913
97	0.692366106
98	0.6919573716
99	0.6914973265
100	0.6907927609
101	0.6903746039
102	0.6898863798
103	0.6895297255
104	0.68900678
105	0.6886339203
106	0.6882276581
107	0.6878717077
108	0.6875148207
109	0.6871559784
110	0.6868474644
111	0.6866017894
112	0.6862904016
113	0.6859682812
114	0.6856208735
115	0.6853056973
116	0.6848955829
117	0.6845029347
118	0.6841455902
119	0.6838046478
120	0.6834229472
121	0.6829667737
122	0.6826294422
123	0.6821798697
124	0.6818469114
125	0.6815071236
126	0.6810029273
127	0.6803690374
128	0.6800666129
129	0.679659582
130	0.6793257946
131	0.6787652574
132	0.6782773993
133	0.677878214
134	0.6775514047
135	0.6771456163
136	0.676751185
137	0.6764960565
138	0.6760885314
139	0.6755491406
140	0.6749750817
141	0.6744704747
142	0.6739499364
143	0.6735588041
144	0.6731735932
145	0.6724982298
146	0.6720090811
147	0.6716636841
148	0.6711480093
149	0.6707735899
150	0.670327361
151	0.6699265996
152	0.6695053253
153	0.6691680848
154	0.6686629556
155	0.6681089539
156	0.6675659377
157	0.6671453306
158	0.6666968979
159	0.6662233558
160	0.6656949811
161	0.6651631293
162	0.6647153493
163	0.664208228
164	0.663698592
165	0.6632392668
166	0.662787447
167	0.6623416683
168	0.6619618355
169	0.6615573928
170	0.661239065
171	0.6607361736
172	0.6603749394
173	0.659963187
174	0.6596259692
175	0.6590420154
176	0.6586262424
177	0.6582957143
178	0.6577425229
179	0.657229476
180	0.6568605003
181	0.6564074055
182	0.6560427431
183	0.6557316687
