iter	Passed	Remaining
398	86645	87079
399	86849	86849
400	87040	86605
401	87245	86377
402	87439	86137
403	87618	85883
404	87792	85624
405	87971	85370
406	88113	85082
407	88323	84860
408	88514	84618
409	88721	84393
410	88935	84175
411	89149	83956
412	89362	83737
413	89551	83494
414	89763	83274
415	89943	83024
416	90153	82802
417	90356	82574
418	90546	82334
419	90730	82089
420	90941	81868
421	91089	81591
422	91284	81357
423	91460	81106
424	91665	80881
425	91862	80648
426	92089	80443
427	92304	80226
428	92504	79998
429	92701	79766
430	92908	79543
431	93121	79325
432	93331	79105
433	93557	78898
434	93758	78670
435	93954	78439
436	94164	78218
437	94357	77985
438	94549	77750
439	94742	77516
440	94970	77311
441	95191	77101
442	95397	76877
443	95605	76656
444	95817	76439
445	95997	76195
446	96195	75966
447	96420	75758
448	96576	75497
449	96789	75280
450	96972	75041
451	97152	74798
452	97343	74565
453	97527	74326
454	97722	74097
455	97930	73877
456	98130	73651
457	98290	73395
458	98480	73163
459	98661	72923
460	98855	72694
461	99061	72473
462	99263	72250
463	99478	72035
464	99674	71808
465	99873	71583
466	100071	71357
467	100237	71108
468	100428	70877
469	100633	70657
470	100787	70401
471	100999	70186
472	101197	69961
473	101406	69743
474	101589	69508
475	101775	69275
476	101967	69047
477	102150	68812
478	102356	68593
479	102546	68364
480	102774	68160
481	102974	67937
482	103169	67711
483	103363	67484
484	103570	67267
485	103771	67045
486	103945	66806
487	104142	66582
488	104348	66365
489	104538	66136
490	104738	65914
491	104945	65697
492	105173	65493
493	105358	65262
494	105542	65030
495	105761	64821
496	105950	64593
497	106146	64369
498	106356	64154
499	106521	63912
500	106722	63692
501	106901	63459
502	107082	63227
503	107195	62956
504	107400	62738
505	107556	62493
506	107722	62253
507	107911	62027
508	108079	61789
509	108294	61579
510	108473	61348
511	108670	61127
512	108851	60897
513	109040	60672
514	109253	60460
515	109461	60246
516	109645	60018
517	109843	59798
518	110028	59572
519	110238	59359
520	110453	59149
521	110665	58936
522	110866	58718
523	111084	58510
524	111311	58306
525	111559	58112
526	111736	57882
527	111925	57658
528	112122	57438
529	112306	57212
530	112442	56962
531	112580	56713
532	112774	56493
533	112974	56275
534	113175	56059
535	113367	55837
536	113574	55623
537	113765	55402
538	113966	55186
539	114160	54966
540	114371	54754
541	114536	54521
542	114727	54300
543	114926	54083
544	115113	53860
545	115303	53639
546	115502	53422
547	115702	53206
548	115912	52994
549	116120	52782
550	116300	52556
551	116482	52332
552	116707	52127
553	116866	51893
554	117017	51656
555	117218	51441
556	117417	51225
557	117593	50999
558	117820	50795
559	118015	50578
560	118219	50364
561	118413	50146
562	118574	49915
563	118770	49698
564	118965	49481
565	119160	49264
566	119366	49051
567	119520	48818
568	119704	48597
569	119849	48360
570	120034	48139
571	120200	47912
572	120408	47701
573	120565	47470
574	120782	47262
575	120970	47044
576	121150	46822
577	121359	46612
578	121563	46399
579	121760	46184
580	121966	45973
581	122173	45762
582	122378	45550
583	122589	45341
584	122770	45120
585	122966	44905
586	123153	44687
587	123355	44475
588	123584	44272
589	123807	44067
590	124010	43854
591	124201	43638
592	124357	43409
593	124555	43195
594	124755	42982
595	124896	42749
596	125052	42522
597	125268	42314
598	125452	42096
599	125599	41866
600	125787	41649
601	125998	41441
602	126192	41227
603	126423	41025
604	126645	40819
605	126812	40596
606	127011	40384
607	127222	40175
608	127427	39964
609	127593	39742
610	127802	39532
611	128007	39322
612	128196	39107
613	128426	38904
614	128620	38690
615	128778	38466
616	128964	38250
617	129115	38024
618	129295	37806
619	129499	37596
620	129696	37384
621	129853	37160
622	130043	36946
623	130242	36735
624	130425	36519
625	130619	36306
626	130814	36093
627	131025	35885
628	131218	35673
629	131388	35454
630	131570	35238
631	131747	35021
632	131935	34807
633	132123	34593
634	132324	34383
635	132521	34172
636	132731	33964
637	132904	33746
638	133103	33536
639	133314	33328
640	133547	33126
641	133765	32920
642	134000	32718
643	134186	32504
644	134398	32297
645	134589	32084
646	134782	31872
647	134962	31657
648	135169	31449
649	135317	31227
650	135463	31004
651	135657	30793
652	135877	30588
653	136071	30376
654	136290	30171
655	136513	29966
656	136704	29754
657	136909	29545
658	137075	29328
659	137276	29119
660	137507	28916
661	137718	28708
662	137912	28497
663	138071	28279
664	138273	28070
665	138472	27860
666	138674	27651
667	138862	27439
668	139068	27231
669	139264	27021
670	139453	26810
671	139666	26603
672	139814	26383
673	140015	26175
674	140226	25967
675	140416	25756
676	140592	25543
677	140781	25332
678	141015	25129
679	141205	24918
680	141408	24710
681	141608	24501
682	141828	24295
683	142010	24083
684	142211	23874
685	142395	23663
686	142594	23454
687	142788	23244
688	142955	23030
689	143133	22818
690	143336	22610
691	143519	22399
692	143726	22191
